date,travel
2026-01-01,No
2026-01-02,Yes
2026-01-03,No
2026-01-04,Yes
2026-01-05,Yes
2026-01-06,No
2026-01-07,No
2026-01-08,No
2026-01-09,No
2026-01-10,No
2026-01-11,No
2026-01-12,Yes
2026-01-13,Yes
2026-01-14,Yes
2026-01-15,Yes
2026-01-16,No
2026-01-17,Yes
2026-01-18,No
2026-01-19,Yes
2026-01-20,No
2026-01-21,No
2026-01-22,Yes
2026-01-23,No
2026-01-24,No
2026-01-25,No
2026-01-26,Yes
2026-01-27,No
2026-01-28,Yes
2026-01-29,Yes
2026-01-30,Yes
2026-01-31,Yes
2026-02-01,Yes
2026-02-02,No
2026-02-03,Yes
2026-02-04,No
2026-02-05,No
2026-02-06,Yes
2026-02-07,No
2026-02-08,Yes
2026-02-09,Yes
2026-02-10,Yes
2026-02-11,Yes
2026-02-12,Yes
2026-02-13,No
2026-02-14,Yes
2026-02-15,Yes
2026-02-16,No
2026-02-17,Yes
2026-02-18,Yes
2026-02-19,No
2026-02-20,No
2026-02-21,No
2026-02-22,No
2026-02-23,No
2026-02-24,Yes
2026-02-25,Yes
2026-02-26,Yes
2026-02-27,Yes
2026-02-28,No
2026-03-01,No
2026-03-02,No
2026-03-03,Yes
2026-03-04,No
2026-03-05,Yes
2026-03-06,No
2026-03-07,Yes
2026-03-08,No
2026-03-09,No
2026-03-10,Yes
2026-03-11,No
2026-03-12,Yes
2026-03-13,No
2026-03-14,No
2026-03-15,Yes
2026-03-16,No
2026-03-17,No
2026-03-18,No
2026-03-19,Yes
2026-03-20,No
2026-03-21,No
2026-03-22,No
2026-03-23,Yes
2026-03-24,No
2026-03-25,No
2026-03-26,No
2026-03-27,Yes
2026-03-28,Yes
2026-03-29,No
2026-03-30,Yes
2026-03-31,Yes
